"Index","S0","S1.0_4FLEETS","S1.0_4FLEETS_WatageFix","S1.0_4FLEETS_q1PEL","S1.0_4FLEETS_q1ECO","S1.0_4FLEETS_q1BOCA","S1.0_4FLEETS_q1ECOREC","S1.0_4FLEETS_SelECO","S1.0_4FLEETS_SelvarECO","S4FLEETS_SelECO_Qprior","S4FLEETS_SelECO_QpriorPelEcoR","S4FLEETS_SelECO_QpriorEco.Boca","S4FLEETS_SelECO_QpriorBoca.EcoR","S4FLEETS_SelECO_QpriorEcoR","S4FLEETS_SelECO_Selfleet","S4FLEETS_SelECO_Mage","S4FLEETS_SelECO_MageSel","S4FLEETS_SelECO_MfixSel","S4FLEETS_SelECO_Selfleet_EcoR","S1.0_4FLEETS_SelECO_EcoR","S1.0_4FLEETS_SelECO_EcoR3","S1.0_4FLEETS_SelECO_RecIndex","S1.0_4FLEETS_SelECO_RecIndex_M1_1.6","S1.0_4FLEETS_SelECO_RecIndex_Mest2_3_M1_1.6","S1.0_4FLEETS_SelECO_RecIndex_Mnewfix","S1.0_InitCond","S1.0_InitCond_sigmaR","S1.0_InitCond_sigmaR_SelP","S1.0_InitCond_sigmaR_SelP_qpriorP","S1.0_InitCond_sigmaR_qpriorP"
"Convergency","7.39562e-05","8.83815e-06","1.09886e-05","12408","5.35227e-05","2.53423e-05","549.934","3.99785e-05","3.47584e-07","1.68081e-05","1.17853e-05","0.0872968","1.53734e-05","127.969","7.11487e-05","0.12734","1.98802e-05","1.466e-05","1.52301e-05","1.3228e-05","3.92551e-05","2.36982e-05","8.39074e-06","3.80948e-05","1.53553e-05","4.15137e-05","2.57715e-05","3.08881e-05","9.86063e-05","8.20368e-05"
"AIC","303.592","264.194","259.906","381.422","371.728","424.428","339.192","254.334","265.538","411.168","346.926","400.722","389.668","313.592","251.01","229.358","233.3778","231.1412","295.374","307.602","301.292","234.8862","228.4208","206.8046","254.24","266.308","252.73","234.9126","250.146","254.362"
"Total_like","138.796","113.097","110.953","172.711","167.864","194.214","151.596","106.167","111.769","184.584","152.463","179.361","173.834","135.796","102.505","92.679","92.6889","92.5706","123.687","131.801","128.646","98.4431","95.2104","83.4023","108.12","110.154","103.365","96.4563","104.073","104.181"
"N_Params","26","38","38","36","36","36","36","42","42","42","42","42","42","42","46","44","48","46","48","44","44","38","38","40","38","46","46","42","42","46"
"Survey_like","-13.4918","-12.1576","-13.4894","9.8998","12.297","27.0269","4.14203","-12.5117","-12.841","4.55967","-2.97285","9.1817","7.69063","-3.8313","-13.015","-14.2577","-14.2716","-14.2666","-8.00146","-6.73658","-11.485","-11.5025","-12.3313","-15.3813","-9.942","-9.12696","-9.03499","-12.3512","-10.5801","-10.556"
"Age_like","121.396","134.818","134.043","172.047","165.206","176.613","155.912","128.386","133.257","179.402","152.083","165.817","162.45","141.346","125.726","118.828","118.151","118.051","141.444","147.59","148.962","119.532","117.486","110.693","129.121","130.471","130.736","127.349","131.278","131.339"
"RMSE_index","41.1","41.7","41.1","50.2","51","55.9","48.1","41.5","41.4","48.3","45.4","49.9","49.4","45.1","41.3","40.8","40.8","40.8","43.4","43.9","42","42","41.6","40.3","42.6","43","43","41.6","42.4","42.4"
"RMSE_age","36.1","29","29","31.6","31.7","32.5","30.4","27.4","28.5","31.4","29.3","30.2","30.6","28.4","27.1","26.8","26.7","26.7","45.5","47.9","28.6","28.2","28.1","27.7","27.4","27.5","27.8","27.8","28.7","28.7"
"Retro_Rho_ssb","0.254444923196091","0.0463587446129784","0.0417543824741846","0.259219445595292","0.269771489406881","0.117740942755057","0.127789546191484","0.0346067422171196","0.0493606863184375","0.267159472994071","0.181500931065383","0.21990052809189","0.1297206751461","0.101737871619218","0.0423823529522208","-0.0892551040070953","-0.0630203414712091","-0.0221436828638854","-0.0716210067328382","-0.0447979981615069","-0.0412524382829027","0.00294945655145795","-0.0647450389252703","-0.137975286381226","-0.0708368863815036","0.0012018475983123","-0.106914027656315","-0.0766824219427698","0.0523518595805306","0.0425351796254708"
