"Scenario","Convergency","AIC","Total_like","Survey_like","Age_like","RMSE_index","RMSE_age","Rho_ssb","Rho_f"
"S0",0.0000739562,303.592,138.796,-13.4918,121.396,41.1,36.1,0.254444923196091,-0.276261360078397
"S1.0_4FLEETS",0.00000883815,264.194,113.097,-12.1576,134.818,41.7,29,0.0463587446129784,-0.0703674441509788
"S1.0_4FLEETS_WatageFix",0.0000109886,259.906,110.953,-13.4894,134.043,41.1,29,0.0417543824741846,-0.0607330586823391
"S1.0_4FLEETS_q1PEL",12408,381.422,172.711,9.8998,172.047,50.2,31.6,0.259219445595292,-0.229957181693514
"S1.0_4FLEETS_q1ECO",0.0000535227,371.728,167.864,12.297,165.206,51,31.7,0.269771489406881,-0.206849219533992
"S1.0_4FLEETS_q1BOCA",0.0000253423,424.428,194.214,27.0269,176.613,55.9,32.5,0.117740942755057,-0.0467922824573354
"S1.0_4FLEETS_q1ECOREC",549.934,339.192,151.596,4.14203,155.912,48.1,30.4,0.127789546191484,-0.138186846037342
"S1.0_4FLEETS_SelECO",0.0000399785,254.334,106.167,-12.5117,128.386,41.5,27.4,0.0346067422171196,-0.0601448801192288
"S1.0_4FLEETS_SelvarECO",0.000000347584,265.538,111.769,-12.841,133.257,41.4,28.5,0.0493606863184375,-0.0753022643508324
"S4FLEETS_SelECO_Qprior",0.0000168081,411.168,184.584,4.55967,179.402,48.3,31.4,0.267159472994071,-0.226843059042817
"S4FLEETS_SelECO_QpriorPelEcoR",0.0000117853,346.926,152.463,-2.97285,152.083,45.4,29.3,0.181500931065383,-0.182955393731821
"S4FLEETS_SelECO_QpriorEco.Boca",0.0872968,400.722,179.361,9.1817,165.817,49.9,30.2,0.21990052809189,-0.175999038002432
"S4FLEETS_SelECO_QpriorBoca.EcoR",0.0000153734,389.668,173.834,7.69063,162.45,49.4,30.6,0.1297206751461,-0.0706058396389081
"S4FLEETS_SelECO_QpriorEcoR",127.969,313.592,135.796,-3.8313,141.346,45.1,28.4,0.101737871619218,-0.115677713635155
"S4FLEETS_SelECO_Selfleet",0.0000711487,251.01,102.505,-13.015,125.726,41.3,27.1,0.0423823529522208,-0.0565826862114086
"S4FLEETS_SelECO_Mage",0.12734,229.358,92.679,-14.2577,118.828,40.8,26.8,-0.0892551040070953,0.00623957014379064
"S4FLEETS_SelECO_MageSel",0.0000198802,233.3778,92.6889,-14.2716,118.151,40.8,26.7,-0.0630203414712091,0.0484982434823055
"S4FLEETS_SelECO_MfixSel",0.00001466,231.1412,92.5706,-14.2666,118.051,40.8,26.7,-0.0221436828638854,0.0263998508003953
"S4FLEETS_SelECO_Selfleet_EcoR",0.0000152301,295.374,123.687,-8.00146,141.444,43.4,45.5,-0.0716210067328382,0.0973987023830106
"S1.0_4FLEETS_SelECO_EcoR",0.000013228,307.602,131.801,-6.73658,147.59,43.9,47.9,-0.0447979981615069,0.0603199505885951
"S1.0_4FLEETS_SelECO_EcoR3",0.0000392551,301.292,128.646,-11.485,148.962,42,28.6,-0.0412524382829027,0.0266974559589569
"S1.0_4FLEETS_SelECO_RecIndex",0.0000236982,234.8862,98.4431,-11.5025,119.532,42,28.2,0.00294945655145795,-0.0122857135256281
"S1.0_4FLEETS_SelECO_RecIndex_M1_1.6",0.00000839074,228.4208,95.2104,-12.3313,117.486,41.6,28.1,-0.0647450389252703,0.10246253741577
"S1.0_4FLEETS_SelECO_RecIndex_Mest2_3_M1_1.6",0.0000380948,206.8046,83.4023,-15.3813,110.693,40.3,27.7,-0.137975286381226,0.0988400186902785
"S1.0_4FLEETS_SelECO_RecIndex_Mnewfix",0.0000153553,254.24,108.12,-9.942,129.121,42.6,27.4,-0.0708368863815036,0.12758458647391
"S1.0_InitCond",0.0000415137,266.308,110.154,-9.12696,130.471,43,27.5,0.0012018475983123,0.00395338350102378
"S1.0_InitCond_sigmaR",0.0000257715,252.73,103.365,-9.03499,130.736,43,27.8,-0.106914027656315,0.260066544927509
"S1.0_InitCond_sigmaR_SelP",0.0000308881,234.9126,96.4563,-12.3512,127.349,41.6,27.8,-0.0766824219427698,0.238591596585641
"S1.0_InitCond_sigmaR_SelP_qpriorP",0.0000986063,250.146,104.073,-10.5801,131.278,42.4,28.7,0.0523518595805306,-0.0755891261254543
"S1.0_InitCond_sigmaR_qpriorP",0.0000820368,254.362,104.181,-10.556,131.339,42.4,28.7,0.0425351796254708,-0.0479600017667112
